Var1
b13s,a03s,b01s,c09s,c10s,a04s,b14s,c07s,a05s,b11s,a06s,b02s,b12s,c08s
a09s,b07s,c13s,a10s,c03s,a05s,c14s,b01s,a06s,c04s,b11s,b08s,b02s,b12s
a09s,b07s,c01s,a10s,c03s,a11s,b13s,b14s,a12s,c04s,b05s,c02s,b06s,b08s
a09s,c05s,b13s,a10s,c06s,b01s,a11s,c03s,b14s,a12s,c07s,b02s,c04s,c08s
b03s,a07s,c13s,b01s,c14s,a11s,c09s,b04s,c10s,a08s,b02s,a05s,a06s,a12s
b03s,b09s,c01s,b10s,a13s,b04s,a14s,c07s,b05s,b06s,a11s,a12s,c02s,c08s
b03s,a09s,c13s,a10s,b01s,a07s,c14s,c11s,b04s,c12s,b02s,a05s,a06s,a08s
a09s,c05s,b13s,a10s,c06s,b01s,a07s,c11s,b14s,c12s,b02s,a08s,c03s,c04s
b03s,c09s,b04s,a13s,c10s,a01s,b05s,b06s,c07s,a14s,a11s,a02s,c08s,a12s
c05s,b09s,c06s,a03s,b10s,b07s,c01s,a04s,c13s,a11s,c14s,a12s,c02s,b08s
b07s,c11s,a03s,c12s,b13s,a01s,b14s,c09s,a04s,c10s,b05s,a02s,b06s,b08s
a07s,b13s,c01s,b14s,c03s,c09s,a11s,b05s,c10s,a08s,b06s,c04s,a12s,c02s
b07s,c01s,a13s,c03s,c09s,a14s,b11s,c10s,b08s,a05s,a06s,c04s,b12s,c02s
b03s,c05s,b07s,c06s,a11s,b13s,c09s,a12s,b14s,c10s,b04s,b08s,a01s,a02s
b03s,a09s,c13s,b07s,a10s,c14s,a05s,c11s,b04s,a06s,b08s,c12s,b01s,b02s
b07s,c01s,a03s,a13s,c09s,a14s,b11s,c10s,a04s,b08s,b05s,b06s,c02s,b12s
b09s,c01s,b10s,a11s,b13s,c03s,a05s,a06s,c07s,b14s,c02s,a12s,c04s,c08s
b03s,c13s,b07s,c01s,a11s,a05s,c14s,b04s,a06s,c02s,b08s,c09s,a12s,c10s
b07s,c03s,a13s,c09s,c10s,b01s,a14s,c04s,a05s,a06s,b11s,b08s,b02s,b12s
b09s,a07s,c11s,b10s,c12s,a13s,b05s,a01s,b06s,c03s,a14s,a02s,c04s,a08s
a09s,c11s,b13s,a10s,a07s,c12s,b14s,b05s,b06s,c03s,a08s,c01s,c04s,c02s
c05s,a07s,b13s,c06s,a03s,b14s,a01s,b11s,c09s,c10s,b12s,a04s,a02s,a08s
b03s,c05s,b07s,c06s,a13s,c01s,b04s,a14s,a11s,b08s,c09s,c10s,a12s,c02s
b09s,a07s,c01s,b10s,a13s,c03s,b11s,a14s,b12s,c04s,a05s,c02s,a06s,a08s
c05s,b09s,c06s,a03s,b10s,b07s,c11s,a01s,c12s,a04s,b08s,a02s,c13s,c14s
b03s,a07s,c13s,b01s,c14s,c11s,a05s,b04s,a06s,c12s,b02s,a08s,c09s,c10s
b03s,a09s,c13s,a10s,b01s,c14s,a05s,c11s,a06s,b04s,c12s,b02s,c07s,c08s
b03s,a09s,c05s,a10s,c06s,b04s,a13s,b11s,a01s,b12s,c07s,a14s,a02s,c08s
b09s,c01s,b10s,a11s,b07s,c03s,a05s,a06s,b13s,c04s,c02s,b14s,a12s,b08s
a09s,b07s,c11s,a10s,c12s,b13s,a05s,a06s,b14s,c03s,b08s,c01s,c04s,c02s
c05s,b09s,c06s,a03s,b10s,c13s,a01s,b11s,c14s,b12s,a04s,c07s,a02s,c08s
b09s,a07s,c11s,b10s,a03s,c12s,a13s,b05s,b06s,a14s,a04s,c01s,a08s,c02s
c05s,b09s,c06s,a03s,b10s,b07s,c13s,a04s,a11s,c14s,a12s,b01s,b08s,b02s
b09s,c11s,b10s,b07s,c12s,a05s,a06s,b13s,a01s,c03s,b14s,c04s,b08s,a02s
a09s,b07s,c13s,a10s,c01s,a03s,c14s,a04s,a11s,b05s,b06s,c02s,a12s,b08s
b03s,b09s,c11s,b10s,a13s,c12s,b07s,a14s,a05s,b04s,a06s,c01s,b08s,c02s
b07s,c03s,c09s,a05s,c10s,b13s,a06s,c04s,b14s,a01s,b11s,b08s,a02s,b12s
b03s,c05s,b09s,c06s,b10s,a13s,c01s,b04s,a14s,a11s,c07s,a12s,c02s,c08s
c01s,a03s,b05s,a13s,b06s,c09s,a14s,c10s,b11s,a04s,c07s,b12s,c02s,c08s
c05s,b09s,c06s,a03s,b10s,b07s,c13s,a01s,c14s,a11s,a04s,b08s,a02s,a12s
a09s,b07s,c01s,a10s,a13s,c03s,a14s,b11s,b08s,c04s,a05s,a06s,c02s,b12s
b03s,c05s,a07s,c06s,b13s,b14s,b04s,a01s,b11s,c09s,c10s,b12s,a08s,a02s
a09s,b13s,a10s,c03s,b14s,c07s,a11s,b05s,b06s,a12s,c04s,c08s,a01s,a02s
b03s,a07s,c01s,b04s,b11s,a13s,b05s,c09s,b06s,c10s,a14s,c02s,a08s,b12s
b03s,a09s,c11s,a10s,b04s,a07s,c12s,b05s,b06s,a13s,a14s,c01s,a08s,c02s
c05s,b09s,c06s,b10s,a13s,b07s,c01s,a14s,c03s,a11s,b08s,a12s,c04s,c02s
c05s,a07s,b13s,c06s,b01s,a03s,c11s,a04s,b14s,c12s,a08s,b02s,c09s,c10s
a07s,c13s,b01s,a03s,c14s,b05s,c11s,a04s,b06s,a08s,c12s,b02s,c09s,c10s
b03s,c05s,a07s,b09s,c06s,b10s,c01s,a13s,b04s,a14s,a11s,c02s,a08s,a12s
a09s,b07s,c11s,a10s,a13s,c12s,a14s,b05s,b06s,c03s,b08s,c01s,c04s,c02s
a09s,c05s,b13s,a10s,c06s,a03s,b14s,c01s,a07s,b11s,b12s,a04s,c02s,a08s
b07s,c03s,a13s,c09s,c10s,b01s,a14s,c04s,a11s,a05s,b08s,a06s,b02s,a12s
b03s,c13s,b04s,c14s,b11s,a05s,a06s,c09s,b12s,c10s,a01s,c07s,a02s,c08s
a09s,b07s,c13s,a10s,c03s,a11s,c14s,b01s,a05s,c04s,a06s,b08s,a12s,b02s
b03s,a09s,c11s,a10s,b13s,a07s,c12s,b14s,b04s,a05s,c01s,a06s,a08s,c02s
b03s,a09s,c05s,a10s,c06s,b01s,a13s,c11s,a14s,b04s,c12s,b02s,c07s,c08s
a09s,c05s,b07s,a10s,c06s,b13s,a01s,c03s,b14s,b11s,c04s,a02s,b08s,b12s
c05s,b09s,a07s,c06s,b10s,c13s,b11s,a01s,c03s,b12s,c14s,c04s,a08s,a02s
b03s,a09s,c05s,a10s,c06s,b13s,c11s,b14s,a01s,b04s,c12s,a02s,c07s,c08s
b09s,c11s,a03s,b10s,b13s,c12s,a04s,b14s,a05s,a06s,c07s,c01s,c08s,c02s
a09s,c05s,b07s,a10s,c06s,a03s,c01s,a13s,b11s,a14s,b08s,a04s,c02s,b12s
c05s,b09s,c06s,a03s,b10s,a13s,c01s,b11s,a14s,a04s,b12s,c07s,c02s,c08s
a09s,c11s,b13s,a10s,a03s,b01s,c12s,b05s,a04s,b06s,c07s,b14s,b02s,c08s
b09s,c13s,a03s,b10s,c01s,b07s,a04s,c14s,a05s,c11s,a06s,c02s,b08s,c12s
c05s,b09s,a07s,c06s,b10s,a03s,c11s,a13s,b01s,c12s,a14s,a04s,a08s,b02s
a09s,c05s,b13s,a10s,c06s,a07s,b14s,c01s,b11s,c03s,b12s,a08s,c04s,c02s
b09s,c13s,a03s,b10s,c14s,a01s,b11s,b05s,c07s,b06s,a04s,a02s,b12s,c08s
b07s,c01s,a03s,a13s,c09s,a14s,b05s,c10s,a04s,b06s,a11s,b08s,c02s,a12s
a09s,c05s,b07s,a10s,c06s,a13s,c01s,a14s,b11s,c03s,b08s,c04s,b12s,c02s
b03s,a09s,c05s,a10s,c06s,b04s,a07s,b11s,c01s,b12s,a13s,c02s,a14s,a08s
b09s,a07s,c13s,b10s,c01s,a03s,b05s,c14s,a04s,b06s,c11s,a08s,c02s,c12s
b03s,a07s,c11s,b13s,c12s,b14s,b04s,a05s,a06s,c09s,c10s,a08s,c01s,c02s
a09s,c05s,b13s,a10s,c06s,a03s,b01s,a04s,b14s,a11s,c07s,b02s,a12s,c08s
c05s,b09s,a07s,c06s,b10s,c11s,a13s,b01s,c12s,a14s,a08s,b02s,c03s,c04s
b03s,b01s,c09s,a13s,c10s,c07s,a14s,b11s,b04s,a05s,b02s,a06s,b12s,c08s
b09s,c11s,a03s,b10s,b13s,c12s,a01s,b14s,a05s,a06s,c07s,a04s,a02s,c08s
a07s,b13s,c01s,b14s,c03s,b11s,c09s,a05s,c10s,a06s,b12s,c04s,a08s,c02s
b09s,a07s,c13s,b10s,c03s,b11s,c14s,a05s,c04s,a06s,b12s,a08s,b01s,b02s
b07s,c13s,a03s,c14s,a04s,a11s,b01s,c09s,c10s,a05s,a06s,b08s,a12s,b02s
b03s,a09s,c11s,a10s,b01s,a13s,c12s,b05s,a14s,b06s,c07s,b04s,b02s,c08s
b03s,a07s,b09s,c13s,b10s,c01s,b04s,c14s,a05s,a06s,c11s,a08s,c02s,c12s
b09s,a07s,c13s,b10s,a03s,c14s,b01s,c11s,a04s,a05s,c12s,a06s,b02s,a08s
b07s,c01s,a13s,c03s,c09s,a14s,b05s,c10s,b06s,a11s,c04s,b08s,a12s,c02s
a09s,c13s,a10s,a03s,b01s,c14s,a07s,b05s,c11s,b06s,c12s,a04s,a08s,b02s
b09s,c11s,a03s,b10s,b13s,c12s,a04s,b01s,a05s,a06s,b14s,c07s,b02s,c08s
a09s,b07s,c01s,a10s,a13s,c03s,a14s,b11s,b08s,c04s,b05s,c02s,b06s,b12s
a09s,c13s,a10s,a03s,b01s,c14s,b05s,a04s,b06s,a11s,c07s,a12s,b02s,c08s
b09s,a07s,c11s,b10s,b13s,c12s,b01s,a05s,a06s,b14s,c03s,a08s,b02s,c04s
c05s,b09s,a07s,c06s,b10s,a03s,c01s,a13s,b11s,a14s,b12s,a04s,c02s,a08s
c05s,b09s,c06s,a03s,b10s,a13s,b01s,a14s,a04s,c07s,a11s,b02s,a12s,c08s
b09s,a07s,c13s,b10s,c01s,b05s,c03s,a11s,b06s,a08s,c14s,c04s,c02s,a12s
b03s,a07s,c13s,b04s,c14s,b05s,a01s,c09s,b06s,c10s,a11s,a08s,a02s,a12s
b07s,c11s,a03s,c12s,b13s,a01s,b14s,a05s,c09s,a06s,c10s,b08s,a04s,a02s
c05s,a07s,b13s,c06s,b14s,a01s,b11s,c03s,c09s,c10s,b12s,a08s,c04s,a02s
b03s,a09s,c11s,a10s,b04s,a13s,c12s,b05s,b06s,a14s,c07s,c01s,c08s,c02s
b03s,a09s,c05s,b07s,a10s,c06s,a13s,c01s,b04s,a14s,c11s,b08s,c02s,c12s
a09s,b07s,c11s,a10s,a13s,c12s,b01s,a14s,b05s,c03s,b06s,b08s,c04s,b02s
a09s,c01s,a10s,b05s,a07s,c03s,b06s,b11s,a13s,c04s,b12s,c02s,a14s,a08s
b09s,b10s,c03s,a13s,c07s,a01s,b05s,b06s,a14s,c04s,a11s,c08s,a02s,a12s
a07s,c11s,b13s,b01s,a03s,c12s,a04s,b14s,a05s,b02s,c09s,a06s,c10s,a08s
b03s,a09s,c13s,b07s,a10s,c01s,a11s,c14s,b04s,a05s,a06s,c02s,b08s,a12s
b09s,c13s,a03s,b10s,c01s,b07s,a04s,c14s,a05s,c02s,a06s,b11s,b08s,b12s
a09s,b13s,a10s,c03s,b14s,c07s,a01s,b11s,b05s,b06s,c04s,a02s,c08s,b12s
b03s,a07s,c11s,b13s,b01s,c12s,b14s,a05s,a06s,b04s,c09s,c10s,b02s,a08s
b09s,b10s,c03s,a13s,c07s,b11s,a14s,b12s,a05s,c04s,a06s,c08s,b01s,b02s
a07s,c13s,c01s,a03s,b05s,b06s,c14s,a04s,b11s,c02s,a08s,b12s,c09s,c10s
b07s,c13s,a03s,c14s,a04s,a11s,b01s,c09s,c10s,a12s,b05s,b06s,b08s,b02s
b03s,a09s,c05s,a10s,c06s,b13s,b01s,a07s,c11s,b14s,c12s,b04s,b02s,a08s
a09s,b07s,c13s,a10s,a03s,c14s,c11s,a04s,b01s,a05s,c12s,a06s,b08s,b02s
b03s,a09s,c05s,b07s,a10s,c06s,a13s,c11s,a01s,b04s,c12s,b08s,a14s,a02s
b09s,b10s,c03s,a13s,c07s,b01s,a14s,a11s,c04s,a05s,a06s,c08s,b02s,a12s
a09s,c05s,b13s,a10s,c06s,a03s,b01s,c11s,a04s,b14s,c12s,b02s,c07s,c08s
b09s,c01s,b10s,a13s,c03s,b11s,a14s,c07s,b12s,a05s,a06s,c02s,c04s,c08s
a09s,c05s,b07s,a10s,c06s,a13s,b01s,c03s,a14s,c04s,b11s,b08s,b02s,b12s
c05s,b09s,a07s,c06s,b10s,a13s,b11s,c03s,a14s,b12s,c04s,a08s,b01s,b02s
a09s,c05s,b07s,a10s,c06s,a11s,b13s,c03s,b14s,a12s,c04s,b08s,a01s,a02s
b03s,a07s,c13s,b01s,c14s,c09s,a05s,b11s,c10s,b04s,a06s,b02s,a08s,b12s
c05s,b09s,c06s,b10s,a13s,b07s,c03s,a14s,a11s,b01s,c04s,a12s,b08s,b02s
b09s,a07s,c11s,b10s,b13s,c12s,a01s,b14s,a05s,c03s,a06s,a08s,c04s,a02s
a07s,c03s,b01s,c09s,a13s,c10s,b05s,b06s,a14s,c04s,a11s,a08s,b02s,a12s
c05s,b09s,c06s,a03s,b10s,a13s,b07s,c11s,a14s,c12s,a04s,b01s,b08s,b02s
c05s,a07s,b13s,c06s,b01s,a03s,a04s,b14s,c09s,a11s,c10s,a08s,b02s,a12s
b03s,c11s,b13s,c12s,b14s,a05s,b04s,a06s,a01s,c09s,c10s,c07s,a02s,c08s
c05s,b09s,c06s,a03s,b10s,b13s,a04s,b01s,a11s,c07s,a12s,b14s,b02s,c08s
a09s,b07s,c13s,a10s,c03s,a01s,c14s,c04s,b05s,c11s,b06s,b08s,c12s,a02s
b07s,c01s,a03s,b13s,a04s,c09s,a11s,c10s,a05s,b14s,a06s,c02s,b08s,a12s
a09s,c05s,a10s,c06s,a03s,b01s,a13s,b11s,a14s,c07s,a04s,b02s,b12s,c08s
b03s,a09s,c13s,a10s,c01s,b04s,a11s,b05s,c14s,b06s,a12s,c02s,c07s,c08s
a09s,c05s,b07s,a10s,c06s,c13s,a11s,b01s,c03s,a12s,c14s,c04s,b08s,b02s
a09s,b07s,c13s,a10s,c03s,a01s,c14s,b11s,c04s,b08s,a05s,a06s,b12s,a02s
b07s,c11s,a03s,c12s,b13s,a04s,b01s,a05s,a06s,c09s,c10s,b14s,b02s,b08s
a09s,b07s,c13s,a10s,c01s,a11s,c03s,b05s,a12s,b06s,c14s,c04s,b08s,c02s
b03s,a09s,c13s,b07s,a10s,c14s,a01s,c11s,b04s,b05s,c12s,b06s,a02s,b08s
b03s,c05s,b07s,c06s,a13s,c11s,a01s,b04s,c12s,b08s,a14s,a02s,c09s,c10s
b03s,a07s,c11s,b01s,c12s,a13s,b05s,b06s,a14s,c09s,c10s,b04s,a08s,b02s
a07s,c13s,b01s,c03s,c09s,c10s,a05s,b11s,c14s,a06s,c04s,b02s,b12s,a08s
a07s,c01s,b05s,a13s,c03s,b06s,c09s,c10s,a14s,b11s,c04s,b12s,a08s,c02s
a07s,c13s,c03s,b05s,c09s,b06s,c10s,a01s,c14s,b11s,c04s,a08s,b12s,a02s
c05s,b09s,c06s,a03s,b10s,a13s,b07s,c01s,a14s,a04s,b11s,c02s,b08s,b12s
b03s,a09s,c13s,a10s,b01s,c14s,a11s,b05s,b06s,c07s,a12s,b04s,b02s,c08s
b03s,a09s,c13s,a10s,b01s,c14s,a11s,a05s,b04s,a06s,c07s,b02s,a12s,c08s
b09s,b10s,c03s,a11s,b13s,c07s,b14s,a12s,c04s,b05s,b06s,c08s,a01s,a02s
a09s,c05s,b07s,a10s,c06s,a03s,c11s,a13s,b01s,c12s,a14s,a04s,b08s,b02s
a09s,b07s,c13s,a10s,c01s,a05s,c03s,a06s,b11s,b08s,c14s,c04s,c02s,b12s
a09s,c11s,b13s,a10s,b01s,a07s,c12s,b14s,b02s,c03s,a05s,a06s,c04s,a08s
b09s,c11s,a03s,b10s,a13s,c12s,b01s,a14s,a04s,a05s,c07s,a06s,b02s,c08s
b09s,c01s,b10s,a13s,b07s,c03s,a14s,a11s,c04s,a05s,c02s,a06s,b08s,a12s
b03s,b09s,c11s,b10s,a13s,c12s,b04s,a14s,a05s,c07s,a06s,c01s,c08s,c02s
b03s,a09s,c01s,a10s,b13s,b14s,a11s,b04s,a05s,c07s,a06s,c02s,a12s,c08s
b03s,c05s,a07s,c06s,b01s,a13s,c09s,b11s,a14s,b04s,c10s,b02s,b12s,a08s
b03s,a07s,c01s,b04s,b11s,a13s,c09s,b12s,c10s,a14s,a05s,c02s,a06s,a08s
a09s,c13s,a10s,a03s,b01s,c14s,b05s,a04s,b06s,c07s,b11s,b02s,b12s,c08s
a09s,c05s,b07s,a10s,c06s,a03s,c01s,c13s,a04s,b11s,b08s,c14s,c02s,b12s
b13s,c03s,b01s,c09s,a11s,c10s,a05s,b14s,a06s,c07s,b02s,c04s,a12s,c08s
b03s,c05s,b07s,c06s,a13s,a01s,b04s,c09s,c10s,b08s,a14s,a11s,a02s,a12s
b03s,c05s,a07s,b09s,c06s,b10s,c01s,a13s,b04s,b11s,a14s,b12s,c02s,a08s
b03s,c05s,a07s,b09s,c06s,b10s,c13s,b04s,a11s,c14s,a08s,b01s,a12s,b02s
a07s,c11s,b01s,c12s,a13s,b05s,b06s,a14s,c09s,c10s,a08s,c03s,b02s,c04s
b03s,a09s,c05s,a10s,c06s,b01s,c13s,a11s,b04s,c14s,a12s,b02s,c07s,c08s
b03s,c11s,b07s,a13s,c12s,a01s,b04s,a05s,b08s,c09s,a06s,c10s,a14s,a02s
a09s,c05s,a10s,c06s,b01s,a13s,c03s,a14s,b11s,c07s,b02s,b12s,c04s,c08s
a09s,b07s,c11s,a10s,c12s,b13s,a01s,b14s,a05s,a06s,c03s,b08s,c04s,a02s
b03s,a09s,c11s,b07s,a10s,a13s,c12s,b04s,a14s,b08s,a05s,a06s,c01s,c02s
b09s,a07s,c11s,b10s,c12s,a13s,b01s,a14s,b05s,c03s,b06s,a08s,c04s,b02s
b03s,a09s,c05s,a10s,c06s,b13s,b01s,a11s,b14s,b04s,a12s,c07s,b02s,c08s
b03s,a09s,c05s,b07s,a10s,c06s,c11s,a01s,b04s,c12s,b08s,a02s,c13s,c14s
b03s,a07s,c13s,c01s,b04s,b05s,c14s,a11s,b06s,a08s,c02s,a12s,c09s,c10s
c05s,b09s,c06s,a03s,b10s,b13s,c11s,a01s,b14s,c12s,a04s,a02s,c07s,c08s
b03s,a07s,b09s,c13s,b10s,c14s,b04s,c11s,a05s,a06s,c12s,b01s,a08s,b02s
b03s,a09s,c11s,a10s,b13s,c12s,b14s,a01s,b04s,b05s,b06s,c07s,a02s,c08s
c13s,a03s,b01s,c14s,a04s,b05s,a11s,c09s,b06s,c10s,a12s,c07s,b02s,c08s
b03s,c05s,a07s,b09s,c06s,b10s,c11s,a13s,b04s,a01s,c12s,a14s,a02s,a08s
b09s,c13s,a03s,b10s,c14s,a01s,b11s,c07s,a05s,b12s,a06s,a04s,a02s,c08s
b09s,c11s,b10s,a13s,b07s,c12s,a01s,a14s,c03s,b05s,a02s,b06s,c04s,b08s
a07s,c13s,b01s,c03s,c09s,c10s,b05s,a11s,b06s,c14s,a08s,c04s,a12s,b02s
b09s,c13s,a03s,b10s,c01s,b11s,a04s,c14s,a05s,b12s,c02s,a06s,c07s,c08s
b03s,a07s,c11s,b13s,c12s,b14s,b04s,a01s,b05s,c09s,b06s,c10s,a08s,a02s
b03s,a09s,c13s,a10s,b04s,c14s,b11s,a01s,b12s,c07s,a05s,a06s,a02s,c08s
b09s,c13s,b10s,c03s,a11s,b07s,a05s,c14s,a06s,c04s,b01s,a12s,b08s,b02s
b03s,b07s,c01s,a13s,c09s,b04s,a14s,b11s,c10s,b08s,a05s,a06s,c02s,b12s
a09s,b07s,c11s,a10s,c12s,b13s,a05s,b01s,a06s,c03s,b14s,b02s,c04s,b08s
b03s,a07s,c01s,b13s,b14s,b04s,c09s,a11s,c10s,a08s,a05s,a06s,c02s,a12s
b03s,a09s,c13s,a10s,c01s,b04s,a07s,b05s,c14s,b06s,c02s,a11s,a08s,a12s
b03s,c11s,b01s,a13s,c12s,a14s,b04s,c09s,a05s,b02s,c10s,a06s,c07s,c08s
c05s,c06s,a03s,b01s,a13s,a14s,b11s,c09s,a04s,c10s,b02s,b12s,c07s,c08s
b03s,c05s,a07s,c06s,b13s,c11s,b14s,b04s,a01s,c12s,a08s,c09s,c10s,a02s
b13s,a03s,c09s,c10s,b14s,a01s,c07s,b05s,b06s,a11s,a04s,a02s,a12s,c08s
b09s,b10s,c03s,a13s,c07s,b01s,a14s,a11s,b05s,c04s,b06s,a12s,c08s,b02s
b07s,c13s,a03s,c01s,a04s,c14s,b11s,a05s,b08s,c02s,a06s,b12s,c09s,c10s
b07s,c11s,a03s,a13s,c12s,a14s,b05s,a04s,b06s,c09s,c10s,b08s,c01s,c02s
b03s,a09s,c05s,b07s,a10s,c06s,c13s,a11s,b04s,c14s,a12s,b08s,b01s,b02s
c05s,b07s,c06s,a03s,b13s,a01s,c09s,b14s,c10s,a11s,a04s,b08s,a02s,a12s
b09s,c13s,b10s,c03s,a11s,b07s,a05s,c14s,a06s,c04s,a01s,b08s,a02s,a12s
b03s,a09s,c05s,b07s,a10s,c06s,c13s,a11s,b04s,c14s,a12s,b08s,a01s,a02s
b07s,c13s,a03s,c14s,a04s,b01s,c09s,a05s,c10s,a06s,b11s,b08s,b02s,b12s
b03s,a07s,c11s,b13s,c12s,b14s,b04s,a01s,c09s,a05s,c10s,a06s,a08s,a02s
b03s,b09s,c13s,b10s,c14s,a05s,b04s,b11s,a06s,c07s,a01s,b12s,a02s,c08s
b09s,c11s,a03s,b10s,a13s,c12s,a01s,b05s,b06s,a14s,c07s,a04s,a02s,c08s
b03s,c05s,c06s,b04s,a13s,b11s,a01s,b12s,c09s,c10s,a14s,c07s,a02s,c08s
a07s,c11s,b01s,a03s,c12s,a13s,b05s,b06s,a14s,c09s,a04s,c10s,a08s,b02s
c13s,a03s,b01s,c14s,a04s,c09s,b11s,a05s,c10s,a06s,b02s,c07s,b12s,c08s
c05s,b09s,a07s,c06s,b10s,a03s,c13s,b11s,a01s,c14s,b12s,a04s,a02s,a08s
a09s,b13s,a10s,c03s,b01s,c07s,a11s,b14s,a05s,a06s,b02s,c04s,c08s,a12s
a09s,c13s,a10s,c01s,a03s,b05s,a07s,b06s,c14s,b11s,c02s,a04s,b12s,a08s
b09s,c11s,a03s,b10s,a13s,c12s,b05s,a14s,b06s,a04s,c07s,c01s,c08s,c02s
c05s,b09s,c06s,a03s,b10s,c13s,a04s,b01s,a11s,c14s,a12s,c07s,b02s,c08s
b09s,c11s,b10s,b13s,c12s,a05s,a06s,b14s,a01s,c03s,c07s,a02s,c04s,c08s
b03s,b13s,c09s,a11s,c10s,b14s,a05s,b04s,c07s,a06s,a01s,c08s,a02s,a12s
b03s,a09s,c11s,b07s,a10s,c12s,a05s,b13s,a06s,b14s,b04s,c01s,b08s,c02s
a07s,c11s,b13s,b01s,c12s,b14s,a05s,a06s,b02s,c09s,c10s,a08s,c03s,c04s
b03s,b09s,c13s,b10s,c01s,a11s,b04s,a05s,c14s,a06s,c02s,a12s,c07s,c08s
a09s,c05s,a10s,c06s,b01s,a07s,c13s,c03s,b11s,c14s,b02s,b12s,c04s,a08s
b03s,c05s,a07s,c06s,b13s,b14s,b04s,a01s,c09s,c10s,a11s,a08s,a02s,a12s
b03s,b01s,c09s,a13s,c10s,c07s,a14s,b04s,a11s,b02s,a05s,a06s,c08s,a12s
b09s,a07s,c13s,b10s,c01s,b11s,c03s,a05s,a06s,c14s,b12s,c04s,a08s,c02s
b07s,c11s,c12s,a05s,b13s,a06s,b14s,a01s,c09s,c10s,c03s,b08s,a02s,c04s
a09s,c13s,a10s,c03s,b05s,a07s,b06s,c14s,c04s,b11s,a01s,b12s,a08s,a02s
b13s,a03s,b01s,c09s,c10s,a04s,b05s,a11s,c07s,b06s,a12s,b14s,b02s,c08s
a07s,c03s,c09s,b05s,a13s,c10s,b06s,a01s,b11s,c04s,a14s,b12s,a02s,a08s
b03s,a09s,c05s,a10s,c06s,b13s,c01s,b14s,a11s,b04s,a12s,c07s,c02s,c08s
b03s,a07s,c13s,b01s,c14s,b05s,a11s,c09s,b06s,c10s,a08s,b04s,a12s,b02s
b09s,b10s,c03s,a11s,b13s,c07s,b01s,a05s,a06s,c04s,b14s,c08s,b02s,a12s
b03s,a09s,c13s,a10s,c01s,b04s,b11s,a05s,c14s,a06s,b12s,c02s,c07s,c08s
a09s,c05s,b07s,a10s,c06s,a03s,c01s,b13s,a04s,b14s,c11s,c02s,b08s,c12s
c05s,b09s,c06s,a03s,b10s,b07s,c11s,a01s,c12s,b13s,a04s,b14s,a02s,b08s
b03s,c05s,b09s,c06s,b10s,a11s,b07s,c13s,a12s,c14s,b04s,b08s,a01s,a02s
b07s,c13s,a03s,c14s,a01s,c09s,b05s,c10s,b06s,a11s,a04s,b08s,a02s,a12s
b07s,c13s,c03s,a11s,c09s,c10s,b05s,a12s,c14s,b06s,c04s,b08s,a01s,a02s
a09s,c05s,b13s,a10s,c06s,b01s,a07s,c03s,b14s,b11s,c04s,a08s,b02s,b12s
b03s,a07s,c13s,c01s,b04s,b11s,c14s,a05s,b12s,a06s,c02s,a08s,c09s,c10s
b03s,a09s,c05s,a10s,c06s,b01s,a07s,c13s,b11s,c14s,b04s,b02s,a08s,b12s
b09s,c01s,a03s,b10s,b13s,a04s,a11s,c07s,b14s,a12s,b05s,b06s,c02s,c08s
b13s,a03s,b01s,c09s,c10s,a04s,a11s,b14s,c07s,a05s,b02s,a06s,c08s,a12s
a09s,b07s,c13s,a10s,c01s,a03s,c14s,a04s,b11s,b08s,c02s,b05s,b06s,b12s
b03s,c13s,b07s,c14s,a11s,b04s,c09s,a12s,c10s,b05s,b06s,b08s,a01s,a02s
a09s,c05s,b07s,a10s,c06s,a03s,c13s,a04s,b01s,c14s,b11s,b08s,b02s,b12s
b03s,c05s,a07s,c06s,b13s,b01s,a11s,b14s,c09s,a08s,b04s,c10s,b02s,a12s
b03s,c05s,a07s,b09s,c06s,b10s,c01s,b04s,c13s,a11s,a08s,c14s,c02s,a12s
a09s,c13s,a10s,b01s,c03s,a07s,c14s,b11s,c04s,b02s,a05s,b12s,a06s,a08s
b09s,c01s,b10s,a13s,b07s,c03s,a14s,c04s,a05s,b11s,a06s,c02s,b08s,b12s
c05s,b09s,a07s,c06s,b10s,b13s,c11s,a01s,b14s,c12s,a08s,c03s,a02s,c04s
a09s,b07s,c13s,a10s,c03s,a01s,c14s,b11s,c04s,b08s,b05s,b06s,a02s,b12s
b03s,b09s,c11s,b10s,a13s,c12s,b04s,a01s,a05s,a06s,c07s,a14s,a02s,c08s
c05s,b09s,a07s,c06s,b10s,a03s,b13s,c11s,a01s,b14s,c12s,a04s,a02s,a08s
b03s,a07s,b09s,c11s,b10s,c12s,a13s,b04s,a14s,a05s,c01s,a06s,a08s,c02s
c05s,b09s,c06s,b10s,a13s,b07s,c11s,a01s,c12s,a14s,a02s,b08s,c03s,c04s
b09s,b10s,c03s,a13s,c07s,a01s,b11s,b05s,b06s,a14s,c04s,a02s,c08s,b12s
b09s,a07s,c13s,b10s,c01s,a03s,b11s,c14s,a04s,b05s,b06s,c02s,a08s,b12s
c05s,b09s,c06s,b10s,a11s,b07s,c13s,c03s,a12s,c14s,c04s,b08s,a01s,a02s
